Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.18,-.11,-.20,-.12,-.23,-.21,-.10,-.16,-.24,-.20,-.23,-.19,***,***,-.14,-.18,-.20
1881,-.15,-.18,.04,.04,.01,-.20,-.07,-.02,-.14,-.21,-.22,-.11,-.10,-.11,-.19,.03,-.10,-.19
1882,.14,.14,.03,-.19,-.16,-.26,-.21,-.06,-.10,-.25,-.16,-.25,-.11,-.10,.06,-.11,-.17,-.17
1883,-.32,-.39,-.13,-.18,-.20,-.13,-.08,-.15,-.21,-.15,-.23,-.16,-.19,-.20,-.32,-.17,-.12,-.19
1884,-.16,-.09,-.37,-.43,-.37,-.41,-.35,-.27,-.27,-.25,-.30,-.29,-.30,-.29,-.14,-.39,-.34,-.27
1885,-.59,-.30,-.26,-.43,-.42,-.44,-.36,-.32,-.24,-.20,-.20,-.05,-.32,-.34,-.39,-.37,-.37,-.21
1886,-.42,-.45,-.38,-.28,-.26,-.39,-.22,-.34,-.26,-.29,-.31,-.26,-.32,-.30,-.31,-.31,-.32,-.28
1887,-.72,-.52,-.34,-.38,-.32,-.24,-.23,-.32,-.22,-.32,-.23,-.33,-.35,-.34,-.50,-.35,-.26,-.26
1888,-.37,-.36,-.41,-.22,-.22,-.18,-.10,-.16,-.10,.02,.01,-.06,-.18,-.20,-.36,-.28,-.15,-.02
1889,-.11,.18,.08,.07,-.02,-.14,-.10,-.20,-.22,-.22,-.33,-.30,-.11,-.09,.00,.04,-.14,-.26
1890,-.44,-.45,-.40,-.37,-.46,-.27,-.27,-.38,-.39,-.24,-.48,-.30,-.37,-.37,-.40,-.41,-.31,-.37
1891,-.42,-.48,-.18,-.28,-.19,-.21,-.21,-.16,-.14,-.22,-.35,-.04,-.24,-.26,-.40,-.22,-.19,-.23
1892,-.28,-.12,-.35,-.34,-.25,-.23,-.32,-.25,-.12,-.12,-.41,-.39,-.27,-.24,-.15,-.31,-.27,-.22
1893,-.79,-.54,-.23,-.30,-.36,-.28,-.16,-.27,-.21,-.17,-.17,-.35,-.32,-.32,-.57,-.30,-.24,-.18
1894,-.53,-.34,-.24,-.48,-.35,-.44,-.26,-.22,-.25,-.21,-.25,-.20,-.31,-.33,-.40,-.36,-.31,-.24
1895,-.44,-.43,-.29,-.25,-.27,-.24,-.18,-.16,-.09,-.09,-.15,-.16,-.23,-.23,-.35,-.27,-.19,-.11
