thedate,hits
2004-01,69
2004-02,37
2004-03,21
2004-04,16
2004-05,15
2004-06,7
2004-07,4
2004-08,4
2004-09,9
2004-10,11
2004-11,14
2004-12,14
2005-01,61
2005-02,30
2005-03,16
2005-04,14
2005-05,15
2005-06,7
2005-07,4
2005-08,5
2005-09,9
2005-10,12
2005-11,13
2005-12,12
2006-01,53
2006-02,27
2006-03,13
2006-04,11
2006-05,12
2006-06,6
2006-07,3
2006-08,4
2006-09,7
2006-10,8
2006-11,11
2006-12,9
2007-01,42
2007-02,18
2007-03,11
2007-04,9
2007-05,10
2007-06,5
2007-07,3
2007-08,4
2007-09,7
2007-10,8
2007-11,9
2007-12,9
2008-01,48
2008-02,22
2008-03,11
2008-04,15
2008-05,10
2008-06,5
2008-07,3
2008-08,4
2008-09,6
2008-10,8
2008-11,11
2008-12,8
2009-01,36
2009-02,16
2009-03,10
2009-04,9
2009-05,9
2009-06,5
2009-07,4
2009-08,3
2009-09,6
2009-10,8
2009-11,8
2009-12,8
2010-01,40
2010-02,24
2010-03,15
2010-04,15
2010-05,15
2010-06,8
2010-07,6
2010-08,7
2010-09,10
2010-10,11
2010-11,12
2010-12,12
2011-01,64
2011-02,24
2011-03,15
2011-04,15
2011-05,16
2011-06,8
2011-07,6
2011-08,11
2011-09,12
2011-10,14
2011-11,14
2011-12,14
2012-01,75
2012-02,28
2012-03,18
2012-04,16
2012-05,15
2012-06,8
2012-07,7
2012-08,8
2012-09,11
2012-10,12
2012-11,14
2012-12,15
2013-01,76
2013-02,28
2013-03,16
2013-04,19
2013-05,17
2013-06,10
2013-07,9
2013-08,21
2013-09,14
2013-10,13
2013-11,14
2013-12,16
2014-01,72
2014-02,24
2014-03,14
2014-04,14
2014-05,14
2014-06,8
2014-07,7
2014-08,8
2014-09,10
2014-10,11
2014-11,13
2014-12,15
2015-01,65
2015-02,25
2015-03,16
2015-04,15
2015-05,16
2015-06,10
2015-07,7
2015-08,8
2015-09,11
2015-10,11
2015-11,12
2015-12,14
2016-01,72
2016-02,23
2016-03,14
2016-04,14
2016-05,13
2016-06,8
2016-07,8
2016-08,7
2016-09,10
2016-10,10
2016-11,13
2016-12,13
2017-01,75
2017-02,21
2017-03,14
2017-04,13
2017-05,12
2017-06,7
2017-07,6
2017-08,8
2017-09,9
2017-10,10
2017-11,11
2017-12,11
