thedate,hits
2004-01,20
2004-02,24
2004-03,19
2004-04,26
2004-05,25
2004-06,24
2004-07,55
2004-08,88
2004-09,32
2004-10,26
2004-11,20
2004-12,19
2005-01,27
2005-02,24
2005-03,22
2005-04,19
2005-05,24
2005-06,22
2005-07,57
2005-08,82
2005-09,34
2005-10,21
2005-11,19
2005-12,19
2006-01,22
2006-02,21
2006-03,19
2006-04,17
2006-05,21
2006-06,24
2006-07,61
2006-08,77
2006-09,29
2006-10,18
2006-11,16
2006-12,14
2007-01,22
2007-02,16
2007-03,17
2007-04,18
2007-05,21
2007-06,25
2007-07,56
2007-08,86
2007-09,27
2007-10,18
2007-11,16
2007-12,14
2008-01,19
2008-02,16
2008-03,16
2008-04,16
2008-05,19
2008-06,20
2008-07,55
2008-08,79
2008-09,24
2008-10,16
2008-11,14
2008-12,12
2009-01,16
2009-02,16
2009-03,15
2009-04,13
2009-05,15
2009-06,19
2009-07,54
2009-08,85
2009-09,24
2009-10,14
2009-11,15
2009-12,11
2010-01,17
2010-02,15
2010-03,13
2010-04,13
2010-05,15
2010-06,18
2010-07,49
2010-08,78
2010-09,23
2010-10,13
2010-11,11
2010-12,10
2011-01,15
2011-02,12
2011-03,11
2011-04,11
2011-05,12
2011-06,17
2011-07,53
2011-08,79
2011-09,22
2011-10,12
2011-11,12
2011-12,10
2012-01,14
2012-02,12
2012-03,10
2012-04,10
2012-05,14
2012-06,17
2012-07,54
2012-08,87
2012-09,20
2012-10,12
2012-11,10
2012-12,9
2013-01,13
2013-02,10
2013-03,9
2013-04,10
2013-05,12
2013-06,17
2013-07,56
2013-08,89
2013-09,19
2013-10,11
2013-11,10
2013-12,8
2014-01,12
2014-02,11
2014-03,10
2014-04,10
2014-05,13
2014-06,17
2014-07,64
2014-08,87
2014-09,19
2014-10,11
2014-11,10
2014-12,9
2015-01,12
2015-02,10
2015-03,10
2015-04,11
2015-05,14
2015-06,22
2015-07,66
2015-08,99
2015-09,23
2015-10,11
2015-11,11
2015-12,10
2016-01,14
2016-02,11
2016-03,11
2016-04,12
2016-05,14
2016-06,19
2016-07,69
2016-08,93
2016-09,25
2016-10,14
2016-11,13
2016-12,10
2017-01,14
2017-02,13
2017-03,12
2017-04,12
2017-05,16
2017-06,21
2017-07,79
2017-08,100
2017-09,24
2017-10,12
2017-11,12
2017-12,11
2018-01,14
2018-02,12
2018-03,12
